OCCTITLE,ANNMEDSAL,EDLEVEL,EDLEVELNUM,county
Accountants and Auditors,62014,Bachelor's degree,6,spokane
Accountants and Auditors,62410,Bachelor's degree,6,yakima
Accountants and Auditors,69061,Bachelor's degree,6,vancouver
Accountants and Auditors,78725,Bachelor's degree,6,snohomish
Accountants and Auditors,78725,Bachelor's degree,6,king
Actuaries,89026,Bachelor's degree,6,vancouver
Actuaries,93863,Bachelor's degree,6,spokane
Actuaries,83216,Bachelor's degree,6,yakima
Actuaries,101245,Bachelor's degree,6,snohomish
Actuaries,101245,Bachelor's degree,6,king
Aerospace Engineering and Operations Technicians,62673,Associate's degree,5,vancouver
Aerospace Engineering and Operations Technicians,67700,Associate's degree,5,spokane
Aerospace Engineering and Operations Technicians,70213,Associate's degree,5,snohomish
Aerospace Engineering and Operations Technicians,70213,Associate's degree,5,king
Aerospace Engineering and Operations Technicians,88681,Associate's degree,5,yakima
Aerospace Engineers,81969,Bachelor's degree,6,vancouver
Aerospace Engineers,95049,Bachelor's degree,6,spokane
Aerospace Engineers,70989,Bachelor's degree,6,yakima
Aerospace Engineers,106716,Bachelor's degree,6,snohomish
Aerospace Engineers,106716,Bachelor's degree,6,king
Agricultural and Food Science Technicians,31940,Associate's degree,5,yakima
Agricultural and Food Science Technicians,38584,Associate's degree,5,spokane
Agricultural and Food Science Technicians,39666,Associate's degree,5,snohomish
Agricultural and Food Science Technicians,39666,Associate's degree,5,king
Agricultural and Food Science Technicians,43063,Associate's degree,5,vancouver
Agricultural Equipment Operators,26540,No formal educational credential,1,vancouver
Agricultural Equipment Operators,36423,No formal educational credential,1,snohomish
Agricultural Equipment Operators,30652,No formal educational credential,1,spokane
Agricultural Equipment Operators,30856,No formal educational credential,1,king
Agricultural Equipment Operators,35377,No formal educational credential,1,yakima
Agricultural Inspectors,33327,Bachelor's degree,6,spokane
Agricultural Inspectors,46322,Bachelor's degree,6,yakima
Agricultural Inspectors,53395,Bachelor's degree,6,vancouver
Agricultural Inspectors,61887,Bachelor's degree,6,snohomish
Agricultural Inspectors,61887,Bachelor's degree,6,king
Air Traffic Controllers,119795,Associate's degree,5,snohomish
Air Traffic Controllers,119795,Associate's degree,5,king
Air Traffic Controllers,119795,Associate's degree,5,yakima
Air Traffic Controllers,119795,Associate's degree,5,vancouver
Aircraft Mechanics and Service Technicians,44651,Postsecondary nondegree award,7,yakima
Aircraft Mechanics and Service Technicians,56840,Postsecondary nondegree award,7,spokane
Aircraft Mechanics and Service Technicians,60471,Postsecondary nondegree award,7,vancouver
Aircraft Mechanics and Service Technicians,70330,Postsecondary nondegree award,7,snohomish
Aircraft Mechanics and Service Technicians,70330,Postsecondary nondegree award,7,king
Airfield Operations Specialists,55897,High school diploma or equivalent,2,snohomish
Airfield Operations Specialists,55897,High school diploma or equivalent,2,king
Airfield Operations Specialists,60708,High school diploma or equivalent,2,yakima
Airfield Operations Specialists,63482,High school diploma or equivalent,2,vancouver
"Airline Pilots, Copilots, and Flight Engineers",60029,Bachelor's degree,6,yakima
"Airline Pilots, Copilots, and Flight Engineers",98301,Bachelor's degree,6,spokane
"Airline Pilots, Copilots, and Flight Engineers",109845,Bachelor's degree,6,snohomish
"Airline Pilots, Copilots, and Flight Engineers",109845,Bachelor's degree,6,king
Anesthesiologists,226186,Doctoral or professional degree,9,snohomish
Anesthesiologists,226186,Doctoral or professional degree,9,vancouver
Anesthesiologists,226186,Doctoral or professional degree,9,spokane
Anesthesiologists,226186,Doctoral or professional degree,9,king
Anesthesiologists,226186,Doctoral or professional degree,9,yakima
Animal Scientists,73736,Bachelor's degree,6,yakima
Animal Scientists,73736,Bachelor's degree,6,snohomish
Animal Scientists,73736,Bachelor's degree,6,vancouver
Animal Scientists,73736,Bachelor's degree,6,spokane
Animal Scientists,73736,Bachelor's degree,6,king
Anthropologists and Archeologists,73736,Master's degree,8,yakima
Anthropologists and Archeologists,73736,Master's degree,8,spokane
Anthropologists and Archeologists,69487,Master's degree,8,snohomish
Anthropologists and Archeologists,69487,Master's degree,8,king
Anthropologists and Archeologists,71941,Master's degree,8,vancouver
"Anthropology and Archeology Teachers, Postsecondary",75936,Doctoral or professional degree,9,snohomish
"Anthropology and Archeology Teachers, Postsecondary",75936,Doctoral or professional degree,9,king
"Anthropology and Archeology Teachers, Postsecondary",76345,Doctoral or professional degree,9,yakima
"Anthropology and Archeology Teachers, Postsecondary",76345,Doctoral or professional degree,9,spokane
"Anthropology and Archeology Teachers, Postsecondary",77163,Doctoral or professional degree,9,vancouver
Appraisers and Assessors of Real Estate,76447,Bachelor's degree,6,yakima
Appraisers and Assessors of Real Estate,76392,Bachelor's degree,6,snohomish
Appraisers and Assessors of Real Estate,76392,Bachelor's degree,6,king
"Architects, Except Landscape and Naval",69345,Bachelor's degree,6,spokane
"Architects, Except Landscape and Naval",70745,Bachelor's degree,6,vancouver
"Architects, Except Landscape and Naval",74506,Bachelor's degree,6,yakima
"Architects, Except Landscape and Naval",77062,Bachelor's degree,6,snohomish
"Architects, Except Landscape and Naval",77062,Bachelor's degree,6,king
Architectural and Civil Drafters,43864,Associate's degree,5,yakima
Architectural and Civil Drafters,48417,Associate's degree,5,spokane
Architectural and Civil Drafters,54268,Associate's degree,5,vancouver
Architectural and Civil Drafters,57756,Associate's degree,5,snohomish
Architectural and Civil Drafters,57756,Associate's degree,5,king
Architectural and Engineering Managers,116434,Bachelor's degree,6,spokane
Architectural and Engineering Managers,124647,Bachelor's degree,6,yakima
Architectural and Engineering Managers,142402,Bachelor's degree,6,vancouver
Architectural and Engineering Managers,147735,Bachelor's degree,6,snohomish
Architectural and Engineering Managers,147735,Bachelor's degree,6,king
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",71424,Doctoral or professional degree,9,snohomish
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",71424,Doctoral or professional degree,9,king
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",74141,Doctoral or professional degree,9,yakima
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",74141,Doctoral or professional degree,9,spokane
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",79576,Doctoral or professional degree,9,vancouver
Athletic Trainers,37162,Bachelor's degree,6,spokane
Athletic Trainers,45943,Bachelor's degree,6,vancouver
Athletic Trainers,51814,Bachelor's degree,6,snohomish
Athletic Trainers,51814,Bachelor's degree,6,king
Atmospheric and Space Scientists,86786,Bachelor's degree,6,snohomish
Atmospheric and Space Scientists,86786,Bachelor's degree,6,king
Atmospheric and Space Scientists,92113,Bachelor's degree,6,yakima
Atmospheric and Space Scientists,92113,Bachelor's degree,6,spokane
Atmospheric and Space Scientists,102766,Bachelor's degree,6,vancouver
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",74709,Doctoral or professional degree,9,vancouver
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",87904,Doctoral or professional degree,9,yakima
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",87904,Doctoral or professional degree,9,spokane
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",94502,Doctoral or professional degree,9,snohomish
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",94502,Doctoral or professional degree,9,king
Audio and Video Equipment Technicians,33907,Postsecondary nondegree award,7,yakima
Audio and Video Equipment Technicians,37121,Postsecondary nondegree award,7,spokane
Audio and Video Equipment Technicians,46430,Postsecondary nondegree award,7,vancouver
Audio and Video Equipment Technicians,51976,Postsecondary nondegree award,7,snohomish
Audio and Video Equipment Technicians,51976,Postsecondary nondegree award,7,king
Audiologists,79181,Doctoral or professional degree,9,snohomish
Audiologists,79181,Doctoral or professional degree,9,king
Audiologists,81503,Doctoral or professional degree,9,spokane
Audiologists,82091,Doctoral or professional degree,9,yakima
Audiologists,88905,Doctoral or professional degree,9,vancouver
Avionics Technicians,85498,Associate's degree,5,yakima
Avionics Technicians,59548,Associate's degree,5,spokane
Avionics Technicians,59903,Associate's degree,5,snohomish
Avionics Technicians,59903,Associate's degree,5,king
Avionics Technicians,60258,Associate's degree,5,vancouver
Biochemists and Biophysicists,83054,Doctoral or professional degree,9,vancouver
Biochemists and Biophysicists,84703,Doctoral or professional degree,9,yakima
Biochemists and Biophysicists,84703,Doctoral or professional degree,9,spokane
Biochemists and Biophysicists,85528,Doctoral or professional degree,9,snohomish
Biochemists and Biophysicists,85528,Doctoral or professional degree,9,king
"Biological Science Teachers, Postsecondary",62917,Doctoral or professional degree,9,spokane
"Biological Science Teachers, Postsecondary",84553,Doctoral or professional degree,9,yakima
"Biological Science Teachers, Postsecondary",90983,Doctoral or professional degree,9,vancouver
"Biological Science Teachers, Postsecondary",92606,Doctoral or professional degree,9,snohomish
"Biological Science Teachers, Postsecondary",92606,Doctoral or professional degree,9,king
"Biological Scientists, All Other",62018,Bachelor's degree,6,spokane
"Biological Scientists, All Other",69680,Bachelor's degree,6,yakima
"Biological Scientists, All Other",78491,Bachelor's degree,6,snohomish
"Biological Scientists, All Other",78491,Bachelor's degree,6,king
"Biological Scientists, All Other",80529,Bachelor's degree,6,vancouver
Biological Technicians,41208,Bachelor's degree,6,vancouver
Biological Technicians,41258,Bachelor's degree,6,yakima
Biological Technicians,44828,Bachelor's degree,6,spokane
Biological Technicians,46754,Bachelor's degree,6,snohomish
Biological Technicians,46754,Bachelor's degree,6,king
Biomedical Engineers,74456,Bachelor's degree,6,snohomish
Biomedical Engineers,74456,Bachelor's degree,6,king
Biomedical Engineers,82361,Bachelor's degree,6,yakima
Biomedical Engineers,82361,Bachelor's degree,6,spokane
Biomedical Engineers,98172,Bachelor's degree,6,vancouver
Boilermakers,53344,Apprenticeship,3,snohomish
Boilermakers,53344,Apprenticeship,3,king
Boilermakers,68287,Apprenticeship,3,yakima
Boilermakers,71950,Apprenticeship,3,spokane
"Bookkeeping, Accounting, and Auditing Clerks",39344,"Some college, no degree",4,yakima
"Bookkeeping, Accounting, and Auditing Clerks",39385,"Some college, no degree",4,spokane
"Bookkeeping, Accounting, and Auditing Clerks",40643,"Some college, no degree",4,vancouver
"Bookkeeping, Accounting, and Auditing Clerks",44124,"Some college, no degree",4,snohomish
"Bookkeeping, Accounting, and Auditing Clerks",44124,"Some college, no degree",4,king
Brickmasons and Blockmasons,49686,Apprenticeship,3,spokane
Brickmasons and Blockmasons,61887,Apprenticeship,3,vancouver
Brickmasons and Blockmasons,50830,Apprenticeship,3,yakima
Brickmasons and Blockmasons,69558,Apprenticeship,3,snohomish
Brickmasons and Blockmasons,69558,Apprenticeship,3,king
Broadcast Technicians,32102,Associate's degree,5,snohomish
Broadcast Technicians,32102,Associate's degree,5,king
Broadcast Technicians,37598,Associate's degree,5,yakima
Broadcast Technicians,44402,Associate's degree,5,vancouver
Budget Analysts,36551,Bachelor's degree,6,yakima
Budget Analysts,66729,Bachelor's degree,6,spokane
Budget Analysts,74547,Bachelor's degree,6,vancouver
Budget Analysts,78623,Bachelor's degree,6,snohomish
Budget Analysts,78623,Bachelor's degree,6,king
Bus and Truck Mechanics and Diesel Engine Specialists,40959,High school diploma or equivalent,2,spokane
Bus and Truck Mechanics and Diesel Engine Specialists,45928,High school diploma or equivalent,2,yakima
Bus and Truck Mechanics and Diesel Engine Specialists,51334,High school diploma or equivalent,2,vancouver
Bus and Truck Mechanics and Diesel Engine Specialists,60542,High school diploma or equivalent,2,snohomish
Bus and Truck Mechanics and Diesel Engine Specialists,60542,High school diploma or equivalent,2,king
"Business Operations Specialists, All Other",61872,Bachelor's degree,6,yakima
"Business Operations Specialists, All Other",62024,Bachelor's degree,6,spokane
"Business Operations Specialists, All Other",67642,Bachelor's degree,6,vancouver
"Business Operations Specialists, All Other",78471,Bachelor's degree,6,snohomish
"Business Operations Specialists, All Other",78471,Bachelor's degree,6,king
"Business Teachers, Postsecondary",65634,Doctoral or professional degree,9,spokane
"Business Teachers, Postsecondary",72555,Doctoral or professional degree,9,yakima
"Business Teachers, Postsecondary",84940,Doctoral or professional degree,9,vancouver
"Business Teachers, Postsecondary",86208,Doctoral or professional degree,9,snohomish
"Business Teachers, Postsecondary",86208,Doctoral or professional degree,9,king
"Buyers and Purchasing Agents, Farm Products",54876,Bachelor's degree,6,vancouver
"Buyers and Purchasing Agents, Farm Products",78681,Bachelor's degree,6,spokane
"Buyers and Purchasing Agents, Farm Products",86025,Bachelor's degree,6,yakima
"Buyers and Purchasing Agents, Farm Products",96074,Bachelor's degree,6,snohomish
"Buyers and Purchasing Agents, Farm Products",96074,Bachelor's degree,6,king
Cabinetmakers and Bench Carpenters,36550,High school diploma or equivalent,2,vancouver
Cabinetmakers and Bench Carpenters,39227,High school diploma or equivalent,2,spokane
Cabinetmakers and Bench Carpenters,41191,High school diploma or equivalent,2,snohomish
Cabinetmakers and Bench Carpenters,41191,High school diploma or equivalent,2,king
Cabinetmakers and Bench Carpenters,39540,High school diploma or equivalent,2,yakima
Camera and Photographic Equipment Repairers,60886,Associate's degree,5,yakima
Camera and Photographic Equipment Repairers,60886,Associate's degree,5,snohomish
"Captains, Mates, and Pilots of Water Vessels",60886,Postsecondary nondegree award,7,yakima
"Captains, Mates, and Pilots of Water Vessels",79962,Postsecondary nondegree award,7,vancouver
"Captains, Mates, and Pilots of Water Vessels",81250,Postsecondary nondegree award,7,spokane
"Captains, Mates, and Pilots of Water Vessels",81894,Postsecondary nondegree award,7,snohomish
"Captains, Mates, and Pilots of Water Vessels",81894,Postsecondary nondegree award,7,king
Cardiovascular Technologists and Technicians,66760,Associate's degree,5,vancouver
Cardiovascular Technologists and Technicians,67388,Associate's degree,5,snohomish
Cardiovascular Technologists and Technicians,67388,Associate's degree,5,king
Cardiovascular Technologists and Technicians,71708,Associate's degree,5,spokane
Cardiovascular Technologists and Technicians,72296,Associate's degree,5,yakima
"Career/Technical Education Teachers, Middle School",58739,Bachelor's degree,6,yakima
"Career/Technical Education Teachers, Middle School",61812,Bachelor's degree,6,vancouver
"Career/Technical Education Teachers, Middle School",66139,Bachelor's degree,6,spokane
"Career/Technical Education Teachers, Middle School",66760,Bachelor's degree,6,snohomish
"Career/Technical Education Teachers, Middle School",66760,Bachelor's degree,6,king
"Career/Technical Education Teachers, Secondary School",60554,Bachelor's degree,6,yakima
"Career/Technical Education Teachers, Secondary School",61152,Bachelor's degree,6,vancouver
"Career/Technical Education Teachers, Secondary School",64823,Bachelor's degree,6,snohomish
"Career/Technical Education Teachers, Secondary School",64823,Bachelor's degree,6,king
"Career/Technical Education Teachers, Secondary School",65604,Bachelor's degree,6,spokane
Carpenters,39512,Apprenticeship,3,yakima
Carpenters,44031,Apprenticeship,3,vancouver
Carpenters,49595,Apprenticeship,3,spokane
Carpenters,54996,Apprenticeship,3,snohomish
Carpenters,54996,Apprenticeship,3,king
Cartographers and Photogrammetrists,50905,Bachelor's degree,6,yakima
Cartographers and Photogrammetrists,64539,Bachelor's degree,6,vancouver
Cartographers and Photogrammetrists,71994,Bachelor's degree,6,spokane
Cartographers and Photogrammetrists,79262,Bachelor's degree,6,snohomish
Cartographers and Photogrammetrists,79262,Bachelor's degree,6,king
Chemical Engineers,85275,Bachelor's degree,6,spokane
Chemical Engineers,86279,Bachelor's degree,6,snohomish
Chemical Engineers,86279,Bachelor's degree,6,king
Chemical Engineers,58519,Bachelor's degree,6,yakima
Chemical Engineers,91075,Bachelor's degree,6,vancouver
Chemical Equipment Operators and Tenders,42800,High school diploma or equivalent,2,vancouver
Chemical Equipment Operators and Tenders,50101,High school diploma or equivalent,2,yakima
Chemical Equipment Operators and Tenders,50101,High school diploma or equivalent,2,spokane
Chemical Equipment Operators and Tenders,53751,High school diploma or equivalent,2,snohomish
Chemical Equipment Operators and Tenders,53751,High school diploma or equivalent,2,king
Chemical Plant and System Operators,50006,High school diploma or equivalent,2,vancouver
Chemical Plant and System Operators,50006,High school diploma or equivalent,2,yakima
Chemical Plant and System Operators,50006,High school diploma or equivalent,2,snohomish
Chemical Plant and System Operators,50006,High school diploma or equivalent,2,spokane
Chemical Plant and System Operators,50006,High school diploma or equivalent,2,king
Chemical Technicians,41915,Associate's degree,5,vancouver
Chemical Technicians,48295,Associate's degree,5,snohomish
Chemical Technicians,48295,Associate's degree,5,king
Chemical Technicians,52534,Associate's degree,5,spokane
Chemical Technicians,82037,Associate's degree,5,yakima
"Chemistry Teachers, Postsecondary",81280,Doctoral or professional degree,9,king
"Chemistry Teachers, Postsecondary",82416,Doctoral or professional degree,9,yakima
"Chemistry Teachers, Postsecondary",82416,Doctoral or professional degree,9,spokane
"Chemistry Teachers, Postsecondary",84687,Doctoral or professional degree,9,vancouver
Chemists,57624,Bachelor's degree,6,yakima
Chemists,66628,Bachelor's degree,6,snohomish
Chemists,66628,Bachelor's degree,6,king
Chemists,71840,Bachelor's degree,6,vancouver
Chemists,79282,Bachelor's degree,6,spokane
Chiropractors,55860,Doctoral or professional degree,9,vancouver
Chiropractors,66415,Doctoral or professional degree,9,snohomish
Chiropractors,66415,Doctoral or professional degree,9,king
Chiropractors,80722,Doctoral or professional degree,9,yakima
Chiropractors,82862,Doctoral or professional degree,9,spokane
Civil Engineering Technicians,52666,Associate's degree,5,yakima
Civil Engineering Technicians,57522,Associate's degree,5,spokane
Civil Engineering Technicians,60706,Associate's degree,5,vancouver
Civil Engineering Technicians,63708,Associate's degree,5,snohomish
Civil Engineering Technicians,63708,Associate's degree,5,king
Civil Engineers,71515,Bachelor's degree,6,yakima
Civil Engineers,75885,Bachelor's degree,6,spokane
Civil Engineers,80813,Bachelor's degree,6,vancouver
Civil Engineers,87303,Bachelor's degree,6,snohomish
Civil Engineers,87303,Bachelor's degree,6,king
"Claims Adjusters, Examiners, and Investigators",60179,High school diploma or equivalent,2,spokane
"Claims Adjusters, Examiners, and Investigators",62552,High school diploma or equivalent,2,yakima
"Claims Adjusters, Examiners, and Investigators",71069,High school diploma or equivalent,2,snohomish
"Claims Adjusters, Examiners, and Investigators",71069,High school diploma or equivalent,2,king
"Claims Adjusters, Examiners, and Investigators",72925,High school diploma or equivalent,2,vancouver
"Clinical, Counseling, and School Psychologists",68118,Doctoral or professional degree,9,spokane
"Clinical, Counseling, and School Psychologists",68291,Doctoral or professional degree,9,yakima
"Clinical, Counseling, and School Psychologists",71333,Doctoral or professional degree,9,snohomish
"Clinical, Counseling, and School Psychologists",71333,Doctoral or professional degree,9,king
"Clinical, Counseling, and School Psychologists",76524,Doctoral or professional degree,9,vancouver
Commercial and Industrial Designers,71870,Bachelor's degree,6,yakima
Commercial and Industrial Designers,48610,Bachelor's degree,6,spokane
Commercial and Industrial Designers,66273,Bachelor's degree,6,vancouver
Commercial and Industrial Designers,72844,Bachelor's degree,6,snohomish
Commercial and Industrial Designers,72844,Bachelor's degree,6,king
Commercial Pilots,56324,High school diploma or equivalent,2,vancouver
Commercial Pilots,63312,High school diploma or equivalent,2,yakima
Commercial Pilots,68992,High school diploma or equivalent,2,spokane
Commercial Pilots,102695,High school diploma or equivalent,2,snohomish
Commercial Pilots,102695,High school diploma or equivalent,2,king
Community Health Workers,35884,High school diploma or equivalent,2,yakima
Community Health Workers,46490,High school diploma or equivalent,2,snohomish
Community Health Workers,46490,High school diploma or equivalent,2,king
"Compensation, Benefits, and Job Analysis Specialists",63627,Bachelor's degree,6,vancouver
"Compensation, Benefits, and Job Analysis Specialists",73999,Bachelor's degree,6,spokane
"Compensation, Benefits, and Job Analysis Specialists",76230,Bachelor's degree,6,yakima
"Compensation, Benefits, and Job Analysis Specialists",80357,Bachelor's degree,6,snohomish
"Compensation, Benefits, and Job Analysis Specialists",80357,Bachelor's degree,6,king
Computer and Information Research Scientists,136592,Doctoral or professional degree,9,yakima
Computer and Information Research Scientists,136592,Doctoral or professional degree,9,snohomish
Computer and Information Research Scientists,136592,Doctoral or professional degree,9,vancouver
Computer and Information Research Scientists,136592,Doctoral or professional degree,9,spokane
Computer and Information Research Scientists,136592,Doctoral or professional degree,9,king
Computer and Information Systems Managers,103415,Bachelor's degree,6,spokane
Computer and Information Systems Managers,119699,Bachelor's degree,6,vancouver
Computer and Information Systems Managers,120825,Bachelor's degree,6,yakima
Computer and Information Systems Managers,154823,Bachelor's degree,6,snohomish
Computer and Information Systems Managers,154823,Bachelor's degree,6,king
Computer Hardware Engineers,106811,Bachelor's degree,6,snohomish
Computer Hardware Engineers,106811,Bachelor's degree,6,king
Computer Hardware Engineers,113362,Bachelor's degree,6,yakima
Computer Hardware Engineers,113362,Bachelor's degree,6,vancouver
Computer Hardware Engineers,126464,Bachelor's degree,6,spokane
Computer Network Architects,92697,Bachelor's degree,6,yakima
Computer Network Architects,93376,Bachelor's degree,6,spokane
Computer Network Architects,116769,Bachelor's degree,6,snohomish
Computer Network Architects,116769,Bachelor's degree,6,king
Computer Network Architects,131988,Bachelor's degree,6,vancouver
Computer Network Support Specialists,57259,Associate's degree,5,yakima
Computer Network Support Specialists,59814,Associate's degree,5,spokane
Computer Network Support Specialists,62217,Associate's degree,5,vancouver
Computer Network Support Specialists,77863,Associate's degree,5,snohomish
Computer Network Support Specialists,77863,Associate's degree,5,king
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",46810,High school diploma or equivalent,2,yakima
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",50077,High school diploma or equivalent,2,spokane
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",88887,High school diploma or equivalent,2,snohomish
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",88887,High school diploma or equivalent,2,king
"Computer Occupations, All Other",63363,Bachelor's degree,6,spokane
"Computer Occupations, All Other",72012,Bachelor's degree,6,snohomish
"Computer Occupations, All Other",72012,Bachelor's degree,6,king
"Computer Occupations, All Other",72570,Bachelor's degree,6,yakima
"Computer Occupations, All Other",87850,Bachelor's degree,6,vancouver
Computer Operators,38356,High school diploma or equivalent,2,yakima
Computer Operators,44966,High school diploma or equivalent,2,snohomish
Computer Operators,44966,High school diploma or equivalent,2,king
Computer Programmers,46511,Bachelor's degree,6,yakima
Computer Programmers,55839,Bachelor's degree,6,spokane
Computer Programmers,74882,Bachelor's degree,6,vancouver
Computer Programmers,121433,Bachelor's degree,6,snohomish
Computer Programmers,121433,Bachelor's degree,6,king
"Computer Science Teachers, Postsecondary",86147,Doctoral or professional degree,9,snohomish
"Computer Science Teachers, Postsecondary",86147,Doctoral or professional degree,9,king
"Computer Science Teachers, Postsecondary",91487,Doctoral or professional degree,9,yakima
"Computer Science Teachers, Postsecondary",91487,Doctoral or professional degree,9,spokane
"Computer Science Teachers, Postsecondary",102167,Doctoral or professional degree,9,vancouver
Computer Systems Analysts,73584,Bachelor's degree,6,spokane
Computer Systems Analysts,82192,Bachelor's degree,6,yakima
Computer Systems Analysts,88611,Bachelor's degree,6,vancouver
Computer Systems Analysts,103364,Bachelor's degree,6,snohomish
Computer Systems Analysts,103364,Bachelor's degree,6,king
Computer User Support Specialists,47129,"Some college, no degree",4,yakima
Computer User Support Specialists,47180,"Some college, no degree",4,spokane
Computer User Support Specialists,50222,"Some college, no degree",4,vancouver
Computer User Support Specialists,60605,"Some college, no degree",4,snohomish
Computer User Support Specialists,60605,"Some college, no degree",4,king
"Computer-Controlled Machine Tool Operators, Metal and Plastic",40031,High school diploma or equivalent,2,vancouver
"Computer-Controlled Machine Tool Operators, Metal and Plastic",40784,High school diploma or equivalent,2,yakima
"Computer-Controlled Machine Tool Operators, Metal and Plastic",42352,High school diploma or equivalent,2,spokane
"Computer-Controlled Machine Tool Operators, Metal and Plastic",56428,High school diploma or equivalent,2,snohomish
"Computer-Controlled Machine Tool Operators, Metal and Plastic",56428,High school diploma or equivalent,2,king
Conservation Scientists,62653,Bachelor's degree,6,spokane
Conservation Scientists,63495,Bachelor's degree,6,yakima
Conservation Scientists,73624,Bachelor's degree,6,snohomish
Conservation Scientists,73624,Bachelor's degree,6,king
Conservation Scientists,77842,Bachelor's degree,6,vancouver
Construction and Building Inspectors,60458,High school diploma or equivalent,2,spokane
Construction and Building Inspectors,62738,High school diploma or equivalent,2,yakima
Construction and Building Inspectors,65991,High school diploma or equivalent,2,vancouver
Construction and Building Inspectors,73642,High school diploma or equivalent,2,snohomish
Construction and Building Inspectors,73642,High school diploma or equivalent,2,king
Construction Managers,80418,Bachelor's degree,6,spokane
Construction Managers,85315,Bachelor's degree,6,yakima
Construction Managers,94826,Bachelor's degree,6,vancouver
Construction Managers,102330,Bachelor's degree,6,snohomish
Construction Managers,102330,Bachelor's degree,6,king
Continuous Mining Machine Operators,56172,No formal educational credential,1,spokane
Continuous Mining Machine Operators,56172,No formal educational credential,1,snohomish
Continuous Mining Machine Operators,56172,No formal educational credential,1,king
Continuous Mining Machine Operators,56172,No formal educational credential,1,vancouver
Conveyor Operators and Tenders,30582,No formal educational credential,1,spokane
Conveyor Operators and Tenders,40840,No formal educational credential,1,snohomish
Conveyor Operators and Tenders,40840,No formal educational credential,1,king
Conveyor Operators and Tenders,42109,No formal educational credential,1,yakima
Cost Estimators,58628,Bachelor's degree,6,spokane
Cost Estimators,61426,Bachelor's degree,6,yakima
Cost Estimators,63130,Bachelor's degree,6,vancouver
Cost Estimators,75277,Bachelor's degree,6,snohomish
Cost Estimators,75277,Bachelor's degree,6,king
Crane and Tower Operators,68778,High school diploma or equivalent,2,yakima
Crane and Tower Operators,54779,High school diploma or equivalent,2,spokane
Crane and Tower Operators,56436,High school diploma or equivalent,2,vancouver
Crane and Tower Operators,72835,High school diploma or equivalent,2,snohomish
Crane and Tower Operators,72835,High school diploma or equivalent,2,king
Credit Analysts,74476,Bachelor's degree,6,vancouver
Credit Analysts,88489,Bachelor's degree,6,yakima
Credit Analysts,91795,Bachelor's degree,6,snohomish
Credit Analysts,91795,Bachelor's degree,6,king
Credit Counselors,45385,Bachelor's degree,6,snohomish
Credit Counselors,45385,Bachelor's degree,6,king
Credit Counselors,46967,Bachelor's degree,6,spokane
Credit Counselors,57383,Bachelor's degree,6,yakima
Credit Counselors,49056,Bachelor's degree,6,vancouver
Database Administrators,71140,Bachelor's degree,6,yakima
Database Administrators,79657,Bachelor's degree,6,spokane
Database Administrators,89006,Bachelor's degree,6,vancouver
Database Administrators,96864,Bachelor's degree,6,snohomish
Database Administrators,96864,Bachelor's degree,6,king
Dental Assistants,37481,Postsecondary nondegree award,7,yakima
Dental Assistants,39311,Postsecondary nondegree award,7,spokane
Dental Assistants,42315,Postsecondary nondegree award,7,snohomish
Dental Assistants,42315,Postsecondary nondegree award,7,king
Dental Assistants,43265,Postsecondary nondegree award,7,vancouver
Dental Hygienists,76321,Associate's degree,5,vancouver
Dental Hygienists,83946,Associate's degree,5,spokane
Dental Hygienists,84971,Associate's degree,5,yakima
Dental Hygienists,95719,Associate's degree,5,snohomish
Dental Hygienists,95719,Associate's degree,5,king
Dental Laboratory Technicians,40658,High school diploma or equivalent,2,yakima
Dental Laboratory Technicians,42769,High school diploma or equivalent,2,vancouver
Dental Laboratory Technicians,45344,High school diploma or equivalent,2,snohomish
Dental Laboratory Technicians,45344,High school diploma or equivalent,2,king
Dental Laboratory Technicians,46026,High school diploma or equivalent,2,spokane
"Dentists, All Other Specialists",238273,Doctoral or professional degree,9,yakima
"Dentists, All Other Specialists",238273,Doctoral or professional degree,9,snohomish
"Dentists, All Other Specialists",238273,Doctoral or professional degree,9,vancouver
"Dentists, All Other Specialists",238273,Doctoral or professional degree,9,spokane
"Dentists, All Other Specialists",238273,Doctoral or professional degree,9,king
"Dentists, General",154204,Doctoral or professional degree,9,vancouver
"Dentists, General",178590,Doctoral or professional degree,9,yakima
"Dentists, General",185749,Doctoral or professional degree,9,snohomish
"Dentists, General",185749,Doctoral or professional degree,9,king
"Dentists, General",200533,Doctoral or professional degree,9,spokane
