OCCTITLE,ANNMEDSAL,STEMFLAG,EDLEVELNUM
"Pressers, Textile, Garment, and Related Materials",27549.73333,NON-STEM,1
Print Binding and Finishing Workers,31980,NON-STEM,2
Printing Press Operators,40943,NON-STEM,2
Private Detectives and Investigators,58772.6,NON-STEM,2
Probation Officers and Correctional Treatment Specialists,57342.75,NON-STEM,6
Procurement Clerks,39349.5,NON-STEM,2
Producers and Directors,71590.2,NON-STEM,6
"Production Workers, All Other",29993.6,NON-STEM,2
"Production, Planning, and Expediting Clerks",49283.2,NON-STEM,2
Proofreaders and Copy Markers,37546,NON-STEM,6
"Property, Real Estate, and Community Association Managers",71912.8,NON-STEM,2
"Protective Service Workers, All Other",38111,NON-STEM,2
Psychiatric Aides,31628.75,NON-STEM,2
Public Address System and Other Announcers,27651.6,NON-STEM,2
Public Relations and Fundraising Managers,98288.2,NON-STEM,6
Public Relations Specialists,62639,NON-STEM,6
"Pump Operators, Except Wellhead Pumpers",63187,NON-STEM,2
Purchasing Managers,109226.8,NON-STEM,6
Radio and Television Announcers,57863.2,NON-STEM,6
Rail Car Repairers,51351.66667,NON-STEM,2
"Rail Transportation Workers, All Other",57570,NON-STEM,2
Rail-Track Laying and Maintenance Equipment Operators,56288,NON-STEM,2
"Railroad Brake, Signal, and Switch Operators",51483,NON-STEM,2
Railroad Conductors and Yardmasters,55982.26667,NON-STEM,2
Real Estate Brokers,75988.61667,NON-STEM,2
Real Estate Sales Agents,48453.4,NON-STEM,2
Receptionists and Information Clerks,30901.2,NON-STEM,2
Recreation Workers,33644.95,NON-STEM,2
Recreational Vehicle Service Technicians,44283.73333,NON-STEM,2
Refuse and Recyclable Material Collectors,46190.2,NON-STEM,1
Rehabilitation Counselors,39926,NON-STEM,8
"Religious Workers, All Other",32048.66667,NON-STEM,6
Reporters and Correspondents,44678.8,NON-STEM,6
Reservation and Transportation Ticket Agents and Travel Clerks,33294,NON-STEM,2
Residential Advisors,32400.4,NON-STEM,2
Retail Salespersons,30380.6,NON-STEM,1
Riggers,47966.4,NON-STEM,2
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",40298.2,NON-STEM,2
Roofers,45180.6,NON-STEM,1
Sailors and Marine Oilers,50383.2,NON-STEM,1
"Sales and Related Workers, All Other",39670.4,NON-STEM,2
Sales Managers,115057,NON-STEM,6
"Sales Representatives, Services, All Other",65731.8,NON-STEM,2
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",70746.8,NON-STEM,2
"Sawing Machine Setters, Operators, and Tenders, Wood",34673.4,NON-STEM,2
"Secondary School Teachers, Except Special and Career/Technical Education",62075,NON-STEM,6
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",38299.2,NON-STEM,2
"Securities, Commodities, and Financial Services Sales Agents",76734.2,NON-STEM,6
Security and Fire Alarm Systems Installers,47157.2,NON-STEM,2
Security Guards,32588.6,NON-STEM,2
Self-Enrichment Education Teachers,44917,NON-STEM,2
Semiconductor Processors,34645.86667,NON-STEM,5
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",35107,NON-STEM,2
Septic Tank Servicers and Sewer Pipe Cleaners,42311.8,NON-STEM,1
Set and Exhibit Designers,51174.8,NON-STEM,6
"Sewers, Hand",32015.1,NON-STEM,1
Sewing Machine Operators,29295.75,NON-STEM,1
Shampooers,23952,NON-STEM,1
"Shipping, Receiving, and Traffic Clerks",34929.8,NON-STEM,2
Shoe and Leather Workers and Repairers,28803.66667,NON-STEM,2
Signal and Track Switch Repairers,69547,NON-STEM,2
Skincare Specialists,38889.35,NON-STEM,7
Slaughterers and Meat Packers,27332.6,NON-STEM,1
Slot Supervisors,51925.8,NON-STEM,2
Social and Community Service Managers,66133,NON-STEM,6
